"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Epack Prefab Technologies Limited","EQ","   204","EPACKPEB","24-SEP-2025","26-SEP-2025","Rs.194 to Rs.204","01-OCT-2025"
"BMW Ventures Limited","BE","    99","BMWVENTLTD","24-SEP-2025","26-SEP-2025","Rs.94 to Rs.99","01-OCT-2025"
"Gurunanak Agriculture India Limited","SME","75","GURUNANAK","24-SEP-2025","26-SEP-2025","RS.75","01-OCT-2025"
"Solarworld Energy Solutions Limited","EQ","   351","SOLARWORLD","23-SEP-2025","25-SEP-2025","Rs.333 to Rs.351","30-SEP-2025"
"Anand Rathi Share and Stock Brokers Limited","EQ","   414","ARSSBL","23-SEP-2025","25-SEP-2025","Rs.393 to Rs.414","30-SEP-2025"
"Jaro Institute of Technology Management and Research Limited","EQ","   890","JARO","23-SEP-2025","25-SEP-2025","Rs.846 to Rs.890","30-SEP-2025"
"Seshaasai Technologies Limited","EQ","   423","STYL","23-SEP-2025","25-SEP-2025","Rs.402 to Rs.423","30-SEP-2025"
"Ecoline Exim Limited","SME","141","ECOLINE","23-SEP-2025","25-SEP-2025","RS.134 to RS.141","30-SEP-2025"
"Matrix Geo Solutions Limited","SME","104","MGSL","23-SEP-2025","25-SEP-2025","RS.98 to RS.104","30-SEP-2025"
"Ganesh Consumer Products Limited","EQ","   322","GANESHCP","22-SEP-2025","24-SEP-2025","Rs.306 to Rs.322","29-SEP-2025"
"Atlanta Electricals Limited","EQ","   754","ATLANTAELE","22-SEP-2025","24-SEP-2025","Rs.718 to Rs.754","29-SEP-2025"
"Prime Cable Industries Limited","SME","83","PRIMECAB","22-SEP-2025","24-SEP-2025","RS.78 to RS.83","29-SEP-2025"
"Saatvik Green Energy Limited","EQ","   465","SAATVIK","19-SEP-2025","23-SEP-2025","Rs.442 to Rs.465","26-SEP-2025"
"GK Energy Limited","EQ","   153","GKENERGY","19-SEP-2025","23-SEP-2025","Rs.145 to Rs.153","26-SEP-2025"
"Siddhi Cotspin Limited","SME","108","SIDDHICOTS","19-SEP-2025","23-SEP-2025","RS.102 to RS.108","26-SEP-2025"
"Ivalue Infosolutions Limited","EQ","   299","IVALUE","18-SEP-2025","22-SEP-2025","Rs.284 to Rs.299","25-SEP-2025"
"VMS TMT Limited","BE","    99","VMSTMT","17-SEP-2025","19-SEP-2025","Rs.94 to Rs.99","24-SEP-2025"
"VMS TMT Limited","BE","    99","VMSTMT","17-SEP-2025","19-SEP-2025","Rs.94 to Rs.99","24-SEP-2025"
"Euro Pratik Sales Limited","EQ","   247","EUROPRATIK","16-SEP-2025","18-SEP-2025","Rs.235 to Rs.247","23-SEP-2025"
"TechD Cybersecurity Limited","SME","193","TECHD","15-SEP-2025","17-SEP-2025","RS.183 to RS.193","22-SEP-2025"
"Dev Accelerator Limited","BE","    61","DEVX","10-SEP-2025","12-SEP-2025","Rs.56 to Rs.61","17-SEP-2025"
"Shringar House of Mangalsutra Limited","EQ","   165","SHRINGARMS","10-SEP-2025","12-SEP-2025","Rs.155 to Rs.165","17-SEP-2025"
"Urban Company Limited","EQ","   103","URBANCO","10-SEP-2025","12-SEP-2025","Rs.98 to Rs.103","17-SEP-2025"
"Dev Accelerator Limited","BE","    61","DEVX","10-SEP-2025","12-SEP-2025","Rs.56 to Rs.61","17-SEP-2025"
"Galaxy Medicare Limited","SME","54","GML","10-SEP-2025","12-SEP-2025","RS.51 to RS.54","17-SEP-2025"
"Taurian MPS Limited","SME","171","TAURIAN","09-SEP-2025","11-SEP-2025","RS.162 to RS.171","16-SEP-2025"
